Länder;Städte;Sehenswürdigkeiteneins;Sehenswürdigkeitenzwei;Sehenswürdigkeitendrei
Belgien;Brüssel;Atomium;Grote Markt;Kunstberg
Bulgarien;Sofia;Alexander-Newski-Kathedrale;"Nationaltheater ""Iwan Wasow""";Kirche von Bojana
Dänemark;Kopenhagen;Tivoli;Schloss Amalienborg;Rosenborg Castle
Deutschland;Hamburg;Elbphilharmonie Hamburg;Miniatur Wunderland;Alter Elbtunnel
Deutschland;Berlin;Brandenburger Tor;Reichstagsgebäude;Berliner Fernsehturm
Deutschland;München;Schloss Nymphenburg;Englischer Garten;Viktualienmarkt
Deutschland;Köln;Kölner Dom;Kölner Zoo;Museum Ludwig
Finnland;Helsinki;Dom von Helsinki;Temppeliaukio-Kirche;Suomenlinna
Frankreich;Paris;Eiffelturm;Louvre;Arc de Triomphe
Frankreich;Marseille;Kathedrale von Marseille;Notre Dame de la Garde;Palais Longchamp
Griechenland;Athen;Akropolis;Akropolismuseum;Olympieion
Griechenland;Kreta;Archäologisches Museum Heraklion;Elafonissi Strand;Samari-Schlucht
Island;Reykjavik;Hallgrimskirche;Perlan;Sonnenfahrt
Italien;Rom;Kolosseum;Trevi Brunnen;Petersdom
Italien;Mailand;Mailänder Dom;Viktor - Emanuel - Passage;Castello Sforzesco
Kroatien;Zagreb;Kathedrale von Zagreb;St. -Markus-Kirche;Dolac-Markt
Niederlande;Amsterdam;Rijksmuseum Amsterdam;Van Gogh Museum;Anne-Frank-Haus
Norwegen;Oslo;Festung Akershus;Munch-Museum Oslo;Vigelandsanlegget
Polen;Warschau;Museum der Geschichte der polnischen Juden;Wissenschaftszentrum Kopernikus;Warschauer Königsschloss
Portugal;Lissabon;Mosteiro dos Jeronimos;Torre de Belem;Castelo de Sao Jorge
Rumänien;Bukarest;Rumänische Athenäum;Palast des Volkes;Triumphbogen
Schweden;Stockholm;Vasa-Museum;Stockholmer Schloss;Skansen
Schweiz;Zürich;Grossmünster;Lindenhof Zürich;Landesmuseum Zürich
Serbien;Belgrad;Festung von Belgrad;Dom des Heiligen Sava;Nikola-Tesla-Museum
Spanien;Barcelona;Sagrada Familia;Park Güell;Casa Mila
Spanien;Madrid;Plaza Mayor;Retiro-Park;Museo del Prado
Tschechien;Prag;Karlsbrücke;Prager Burg;St. Veits Dom
Türkei;Istanbul;Hagia Sophia;Sultan-Ahmed-Moschee;Galataturm
Ungarn;Budapest;Fischerbastei;St. -Stephans-Basilika;Heldenplatz
Vereinigtes Königreich;London;Buckingham Palace;London Eye ;Big Ben
Vereinigtes Königreich;Birmingham;Cadbury World;National SEA LIFE Centre Birmingham;Bull Ring
Vereinigtes Königreich;Edinburgh;Edinburgh Castle;Royal Museum;Royale Mile
